ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Countries,Family_ID,Language_ID,Closest_ISO369P3code,First_Year_Of_Documentation,Last_Year_Of_Documentation
fuln1247,Fulniô,South America,-9.02591,-37.1402,fuln1247,fun,BR,,,fun,,
demm1245,Dem,Papunesia,-3.72183,137.632,demm1245,dem,ID,,,dem,,
mixe1284,Mixe-Zoque,,16.99190245384724,-94.20790659990188,mixe1284,,,,,,,
mure1235,Mure,South America,-13.636709,-62.2020909,mure1235,,BO,,,,,1800
nort2923,North Halmahera,,0.7726235182356925,127.65677812477459,nort2923,,,,,,,
tonk1249,Tonkawa,North America,30.25,-96.75,tonk1249,tqw,US,,,tqw,,1965
otom1276,Otomaco-Taparita,South America,7.869912,-70.997315,otom1276,,VE,,,,,
klam1254,Klamath-Modoc,North America,42.5861,-121.704,klam1254,kla,US,,,kla,,2003
fasu1242,Fasu,Papunesia,-6.62687,143.284,fasu1242,faa,PG,,,faa,,
chib1249,Chibchan,,12.511542059000078,-81.72370357999995,chib1249,,,,,,,
nimb1257,Nimboranic,,-2.578156875,140.2446875,nimb1257,,,,,,,
atak1252,Atakapa,North America,30.9121,-93.0827,atak1252,aqp,US,,,aqp,1721,1934
natc1249,Natchez,North America,31.75,-91.33,natc1249,ncz,US,,,ncz,,1957
turk1311,Turkic,,49.917025962656865,60.68987607174649,turk1311,,,,,,,
momb1255,Mombum-Koneraw,,-8.322825,138.42025,momb1255,,,,,,,
saha1256,Saharan,,15.684947833333332,19.429382666666662,saha1256,,,,,,,
cams1241,Camsá,South America,1.14537,-76.8931,cams1241,kbh,CO,,,kbh,,
surm1244,Surmic,,6.8819987708333334,34.97338345833333,surm1244,,,,,,,
fuyu1242,Fuyug,Papunesia,-8.6371,147.312,fuyu1242,fuy,PG,,,fuy,,
mimi1240,Mimi-Gaudefroy,Africa,13.827507,21.11324,mimi1240,,TD,,,,,1906
atac1235,Atacame,South America,0.834931,-79.778137,atac1235,,EC,,,,,1877
amto1249,Amto-Musan,,-4.087384999999999,141.3795,amto1249,,,,,,,
ijoi1239,Ijoid,,4.703427765911557,6.938100510545368,ijoi1239,,,,,,,
muni1258,Muniche,South America,-5.7441796,-76.426712,muni1258,myr,PE,,,myr,,2000
trum1247,Trumai,South America,-11.8119,-53.5717,trum1247,tpy,BR,,,tpy,,
come1251,Comecrudan,North America,26.1333,-98.4667,come1251,xcm,MX,,,xcm,1829,1886
anim1240,Anim,,-7.667817181958041,142.39080946186039,anim1240,,,,,,,
waka1280,Wakashan,,50.91264921400655,-126.7970498950268,waka1280,,,,,,,
koma1264,Koman,,9.2346805,34.10874325,koma1264,,,,,,,
katl1246,Katla-Tima,,11.691676999999999,29.29042325,katl1246,,,,,,,
tang1340,Tangkic,,-16.827569268999923,139.15805097700002,tang1340,,,,,,,
mink1237,Minkin,Australia,-17.736653,139.541931,mink1237,xxm,AU,,,xxm,,1905
taru1236,Taruma,South America,1.666,-58.653,taru1236,tdm,BR;GY,,,tdm,,
zapa1251,Zaparoan,,-2.8666875000000003,-75.174295,zapa1251,,,,,,,
buna1274,Bunaban,,-18.118499999999997,125.991,buna1274,,,,,,,
guah1252,Guahiboan,,4.60511875,-71.21545624999999,guah1252,,,,,,,
doso1238,Doso-Turumsa,,-7.89522,142.61200000000002,doso1238,,,,,,,
niha1238,Nihali,Eurasia,21.1886,76.3318,niha1238,nll,IN,,,nll,,
book1242,Bookkeeping,,,,book1242,,,,,,,
lule1238,Lule,South America,-25.221839,-61.887818,lule1238,ule,AR,,,ule,,1732
ainu1252,Ainu,,46.374701239000046,143.62574303500003,ainu1252,,,,,,,
kadu1256,Kadugli-Krongo,,11.095941666666667,29.483575,kadu1256,,,,,,,
cofa1242,Cofán,South America,0.276675,-77.0643,cofa1242,con,CO;EC,,,con,,
jiva1245,Chicham,,-4.361705000000001,-77.8664,jiva1245,,,,,,,
huav1256,Huavean,,16.268133856000077,-94.77989661399994,huav1256,,,,,,,
boro1281,Bororoan,,-15.764624999999997,-57.434349999999995,boro1281,,,,,,,
mato1253,Mato Grosso Arára,South America,-9.172609,-60.628867,mato1253,axg,BR,,,axg,,2007
song1307,Songhay,,16.661174876606953,-0.40664483064927603,song1307,,,,,,,
shab1252,Shabo,Africa,7.64407,35.223,shab1252,sbf,ET,,,sbf,,
yama1264,Yámana,South America,-55.2748,-68.2648,yama1264,yag,CL,,,yag,,2019
tupi1275,Tupian,,-8.998426385618503,-58.43139197008457,tupi1275,,,,,,,
