ID,Name,Description,Tree_Is_Rooted,Tree_Type,Tree_Branch_Length_Unit,Media_ID,Source
abkh1242,abkh1242,Glottolog classification of the languages in the family Abkhaz-Adyge,,,,classification,
surm1244,surm1244,Glottolog classification of the languages in the family Surmic,,,,classification,
tama1329,tama1329,Glottolog classification of the languages in the family Tamaic,,,,classification,
yare1250,yare1250,Glottolog classification of the languages in the family Yareban,,,,classification,
monu1249,monu1249,Glottolog classification of the languages in the family Bogia,,,,classification,
tebe1251,tebe1251,Glottolog classification of the languages in the family Teberan,,,,classification,
sali1297,sali1297,Glottolog classification of the languages in the family Saliban,,,,classification,
hibi1242,hibi1242,Glottolog classification of the languages in the family Hibito-Cholon,,,,classification,
kiwa1251,kiwa1251,Glottolog classification of the languages in the family Kiwaian,,,,classification,
paho1240,paho1240,Glottolog classification of the languages in the family Pahoturi,,,,classification,
araw1282,araw1282,Glottolog classification of the languages in the family Arawan,,,,classification,
cent2225,cent2225,Glottolog classification of the languages in the family Central Sudanic,,,,classification,
otom1299,otom1299,Glottolog classification of the languages in the family Otomanguean,,,,classification,
doso1238,doso1238,Glottolog classification of the languages in the family Doso-Turumsa,,,,classification,
coos1248,coos1248,Glottolog classification of the languages in the family Coosan,,,,classification,
barb1265,barb1265,Glottolog classification of the languages in the family Barbacoan,,,,classification,
uruc1242,uruc1242,Glottolog classification of the languages in the family Uru-Chipaya,,,,classification,
east1459,east1459,Glottolog classification of the languages in the family East Bird's Head,,,,classification,
mixe1287,mixe1287,Glottolog classification of the languages in the family Mixed Language,,,,classification,
miwo1274,miwo1274,Glottolog classification of the languages in the family Miwok-Costanoan,,,,classification,
utoa1244,utoa1244,Glottolog classification of the languages in the family Uto-Aztecan,,,,classification,
west2434,west2434,Glottolog classification of the languages in the family Western Daly,,,,classification,
geel1240,geel1240,Glottolog classification of the languages in the family Geelvink Bay,,,,classification,
pidg1258,pidg1258,Glottolog classification of the languages in the family Pidgin,,,,classification,
giim1238,giim1238,Glottolog classification of the languages in the family Giimbiyu,,,,classification,
bosa1245,bosa1245,Glottolog classification of the languages in the family Bosavi,,,,classification,
jiva1245,jiva1245,Glottolog classification of the languages in the family Chicham,,,,classification,
hata1242,hata1242,Glottolog classification of the languages in the family Hatam-Mansim,,,,classification,
huav1256,huav1256,Glottolog classification of the languages in the family Huavean,,,,classification,
kadu1256,kadu1256,Glottolog classification of the languages in the family Kadugli-Krongo,,,,classification,
sout2845,sout2845,Glottolog classification of the languages in the family South Omotic,,,,classification,
mong1349,mong1349,Glottolog classification of the languages in the family Mongolic-Khitan,,,,classification,
mang1423,mang1423,Glottolog classification of the languages in the family Mangarrayi-Maran,,,,classification,
leng1261,leng1261,Glottolog classification of the languages in the family Lengua-Mascoy,,,,classification,
daju1249,daju1249,Glottolog classification of the languages in the family Dajuic,,,,classification,
garr1260,garr1260,Glottolog classification of the languages in the family Garrwan,,,,classification,
drav1251,drav1251,Glottolog classification of the languages in the family Dravidian,,,,classification,
nimb1257,nimb1257,Glottolog classification of the languages in the family Nimboranic,,,,classification,
yuki1242,yuki1242,Glottolog classification of the languages in the family Yuki-Wappo,,,,classification,
hurr1239,hurr1239,Glottolog classification of the languages in the family Hurro-Urartian,,,,classification,
tuca1253,tuca1253,Glottolog classification of the languages in the family Tucanoan,,,,classification,
sout2948,sout2948,Glottolog classification of the languages in the family South Bougainville,,,,classification,
pomo1273,pomo1273,Glottolog classification of the languages in the family Pomoan,,,,classification,
katl1246,katl1246,Glottolog classification of the languages in the family Katla-Tima,,,,classification,
choc1280,choc1280,Glottolog classification of the languages in the family Chocoan,,,,classification,
kaya1327,kaya1327,Glottolog classification of the languages in the family Kayagaric,,,,classification,
sino1245,sino1245,Glottolog classification of the languages in the family Sino-Tibetan,,,,classification,
krua1234,krua1234,Glottolog classification of the languages in the family Kru,,,,classification,
more1255,more1255,Glottolog classification of the languages in the family Yam,,,,classification,
song1307,song1307,Glottolog classification of the languages in the family Songhay,,,,classification,
west1493,west1493,Glottolog classification of the languages in the family West Bird's Head,,,,classification,
